PMT_Gain,Image_No,Image_title,PMT_Number,pixels,Intensity,min,max,Laser_power
0.85,128,2.5uM_PMT85_20P_750-0002,1,405000,4075.177,2959,4095,20
0.85,129,2.5uM_PMT85_18P_750-0002,1,405000,4006.885,2240,4095,18
0.85,130,2.5uM_PMT85_16P_750-0002,1,405000,3811.577,1837,4095,16
0.85,131,2.5uM_PMT85_14P_750-0002,1,405000,3440.343,1435,4095,14
0.85,132,2.5uM_PMT85_12P_750-0002,1,405000,2934.51,989,4095,12
0.85,133,2.5uM_PMT85_10P_750-0002,1,405000,2395.99,723,4095,10
0.85,134,2.5uM_PMT85_8P_750-0002,1,405000,1881.297,383,4092,8
0.85,135,2.5uM_PMT85_6P_750-0002,1,405000,1452.22,238,3592,6
0.85,136,2.5uM_PMT85_4P_750-0002,1,405000,1086.43,97,3384,4
0.85,137,2.5uM_PMT85_2P_750-0002,1,405000,804.445,0,2797,2
0.85,138,2.5uM_PMT85_0P_750-0002,1,405000,614.254,0,2361,0
0.75,139,2.5uM_PMT75_20P_860-0003,2,405000,3443.11,1385,4095,20
0.75,140,2.5uM_PMT75_20P_750-0002,1,405000,2137.586,1013,3569,20
0.75,141,2.5uM_PMT75_18P_860-0003,2,405000,3170.601,836,4095,18
0.75,142,2.5uM_PMT75_18P_750-0002,1,405000,1840.013,794,3239,18
0.75,143,2.5uM_PMT75_16P_860-0003,2,405000,2820.944,825,4095,16
0.75,144,2.5uM_PMT75_16P_750-0002,1,405000,1573.96,638,2986,16
0.75,145,2.5uM_PMT75_14P_860-0003,2,405000,2429.014,570,4054,14
0.75,146,2.5uM_PMT75_14P_750-0002,1,405000,1317.239,515,2686,14
0.75,147,2.5uM_PMT75_12P_860-0003,2,405000,2003.346,126,3986,12
0.75,148,2.5uM_PMT75_12P_750-0002,1,405000,1090.68,378,2201,12
0.75,149,2.5uM_PMT75_10P_860-0003,2,405000,1578.92,107,3884,10
0.75,150,2.5uM_PMT75_10P_750-0002,1,405000,876.523,266,2149,10
0.75,151,2.5uM_PMT75_8P_860-0003,2,405000,1201.557,0,3715,8
0.75,152,2.5uM_PMT75_8P_750-0002,1,405000,689.255,128,1960,8
0.75,153,2.5uM_PMT75_6P_860-0003,2,405000,898.888,0,2853,6
0.75,154,2.5uM_PMT75_6P_750-0002,1,405000,529.991,46,1417,6
0.75,155,2.5uM_PMT75_4P_860-0003,2,405000,660.591,0,2732,4
0.75,156,2.5uM_PMT75_4P_750-0002,1,405000,390.959,21,1135,4
0.75,157,2.5uM_PMT75_2P_860-0003,2,405000,509.455,0,2502,2
0.75,158,2.5uM_PMT75_2P_750-0002,1,405000,288.204,0,1055,2
0.75,159,2.5uM_PMT75_0P_860-0003,2,405000,452.306,0,2524,0
0.75,160,2.5uM_PMT75_0P_750-0002,1,405000,220.493,0,1111,0
0.65,161,2.5uM_PMT65_20P_860-0003,2,405000,1880.557,547,3511,20
0.65,162,2.5uM_PMT65_20P_750-0002,1,405000,640.119,284,1102,20
0.65,163,2.5uM_PMT65_18P_860-0003,2,405000,1642.6,352,3242,18
0.65,164,2.5uM_PMT65_18P_750-0002,1,405000,551.887,239,963,18
0.65,165,2.5uM_PMT65_16P_860-0003,2,405000,1401.338,268,3207,16
0.65,166,2.5uM_PMT65_16P_750-0002,1,405000,470.681,172,849,16
0.65,167,2.5uM_PMT65_14P_860-0003,2,405000,1168.299,111,3120,14
0.65,168,2.5uM_PMT65_14P_750-0002,1,405000,390.233,126,750,14
0.65,169,2.5uM_PMT65_12P_860-0003,2,405000,948.102,0,2417,12
0.65,170,2.5uM_PMT65_12P_750-0002,1,405000,320.865,60,664,12
0.65,171,2.5uM_PMT65_10P_860-0003,2,405000,738.171,0,2028,10
0.65,172,2.5uM_PMT65_10P_750-0002,1,405000,259.095,29,644,10
0.65,173,2.5uM_PMT65_8P_860-0003,2,405000,553.155,0,1972,8
0.65,174,2.5uM_PMT65_8P_750-0002,1,405000,202.548,0,500,8
0.65,175,2.5uM_PMT65_6P_860-0003,2,405000,409.194,0,1735,6
0.65,176,2.5uM_PMT65_6P_750-0002,1,405000,156.281,0,477,6
0.65,177,2.5uM_PMT65_4P_860-0003,2,405000,298.479,0,1455,4
