PMT_Gain,Image_No,Image_title,PMT_Number,pixels,Intensity,min,max,Laser_power
0.85,1,PMT85_10P_750-0002,1,405000,4081.146,2769,4095,10
0.85,2,PMT85_8P_750-0002,1,405000,3848.108,1742,4095,8
0.85,3,PMT85_7P_750-0002,1,405000,3464.273,1051,4095,7
0.85,4,PMT85_6P_750-0002,1,405000,2884.239,936,4095,6
0.85,5,PMT85_5P_750-0002,1,405000,2258.521,642,4095,5
0.85,6,PMT85_4P_750-0002,1,405000,1732.135,420,4041,4
0.85,7,PMT85_3P_750-0002,1,405000,1279.169,184,3481,3
0.85,8,PMT85_2P_750-0002,1,405000,946.999,61,3113,2
0.85,9,PMT85_0P_750-0002,1,405000,601.611,0,2479,0
0.75,10,PMT75_16P_750-0002,1,405000,3996.031,2285,4095,16
0.75,11,PMT75_15P_750-0002,1,405000,3882.11,2087,4095,15
0.75,12,PMT75_14P_750-0002,1,405000,3692.194,1773,4095,14
0.75,13,PMT75_12P_860-0003,2,405000,3997.637,1273,4095,12
0.75,14,PMT75_12P_750-0002,1,405000,3006.94,1389,4095,12
0.75,15,PMT75_10P_860-0003,2,405000,3828.055,1503,4095,10
0.75,16,PMT75_10P_750-0002,1,405000,2219.924,887,3808,10
0.75,17,PMT75_9P_750-0002,1,405000,1869.101,796,3169,9
0.75,18,PMT75_8P_860-0003,2,405000,3331.953,1029,4095,8
0.75,19,PMT75_8P_750-0002,1,405000,1541.697,567,2768,8
0.75,20,PMT75_6P_860-0003,2,405000,2403.67,411,4071,6
0.75,21,PMT75_6P_750-0002,1,405000,1020.576,290,2365,6
0.75,22,PMT75_5P_860-0003,2,405000,1847.346,175,3884,5
0.75,23,PMT75_4P_860-0003,2,405000,1381.781,44,3634,4
0.75,24,PMT75_4P_750-0002,1,405000,608.177,127,1553,4
0.75,25,PMT75_2P_860-0003,2,405000,684.326,0,2809,2
0.75,26,PMT75_2P_750-0002,1,405000,339.254,9,1050,2
0.75,27,PMT75_2P_750_0001-0002,1,405000,339.206,5,1155,2
0.75,28,PMT75_1P_860-0003,2,405000,500.796,0,2632,1
0.75,29,PMT75_0P_860-0003,2,405000,421.182,0,2439,0
0.75,30,PMT75_0P_750-0002,1,405000,221.131,0,940,0
