PMT_Gain,Image_No,Image_title,PMT_Number,pixels,Intensity,min,max,Laser_power
0.65,2,5uM_860_20P_Both-0003,2,405000,2099.883,0,4095,20
0.7,3,5uM_860_20P_Both-0003,2,405000,3149.739,0,4095,20
0.6,4,5uM_860_20P_Both-0003,2,405000,1432.555,0,3932,20
0.75,5,5uM_860_18P_Both-0003,2,405000,3470.133,0,4095,18
0.75,6,5uM_860_18P_Both-0003,2,405000,3458.389,0,4095,18
0.65,7,5uM_860_18P_Both-0003,2,405000,1717.618,0,4095,18
0.7,9,5uM_860_18P_Both-0003,2,405000,2768.989,0,4095,18
0.6,10,5uM_860_18P_Both-0003,2,405000,1185.608,0,3842,18
0.75,11,5uM_860_16P_Both-0003,2,405000,3151.819,0,4095,16
0.65,12,5uM_860_16P_Both-0003,2,405000,1428.691,0,4032,16
0.7,14,5uM_860_16P_Both-0003,2,405000,2347.478,0,4095,16
0.6,15,5uM_860_16P_Both-0003,2,405000,957.275,0,3618,16
0.75,16,5uM_860_14P_Both-0003,2,405000,2726.133,0,4095,14
0.65,17,5uM_860_14P_Both-0003,2,405000,1142.275,0,3905,14
0.8,18,5uM_860_14P_Both-0003,2,405000,3446.256,0,4095,14
0.8,19,5uM_860_14P_Both-0003,2,405000,3380.629,0,4095,14
0.7,20,5uM_860_14P_Both-0003,2,405000,1900.619,0,4095,14
0.6,21,5uM_860_14P_Both-0003,2,405000,779.204,0,3441,14
0.75,22,5uM_860_12P_Both-0003,2,405000,2206.099,0,4095,12
0.65,23,5uM_860_12P_Both-0003,2,405000,900.084,0,3719,12
0.8,24,5uM_860_12P_Both-0003,2,405000,3082.671,0,4095,12
0.8,1,5uM_860_12P_Both-0003,2,405000,3016.931,0,4095,12
0.7,2,5uM_860_12P_Both-0003,2,405000,1481.234,0,4095,12
0.6,3,5uM_860_12P_Both-0003,2,405000,622.775,0,3271,12
0.75,4,5uM_860_10P_Both-0003,2,405000,1688.633,0,4095,10
0.65,5,5uM_860_10P_Both-0003,2,405000,688.325,0,3465,10
0.8,6,5uM_860_10P_Both-0003,2,405000,2544.669,0,4095,10
0.8,7,5uM_860_10P_Both-0003,2,405000,2486.478,0,4095,10
0.7,8,5uM_860_10P_Both-0003,2,405000,1118.334,0,3965,10
0.75,10,5uM_860_8P_Both-0003,2,405000,1219.573,0,4073,8
0.8,12,5uM_860_8P_Both-0003,2,405000,1941.443,0,4095,8
0.8,13,5uM_860_8P_Both-0003,2,405000,1904.187,0,4095,8
