PMT_Gain,Image_No,Image_title,PMT_Number,pixels,Intensity,min,max,Laser_power
0.6,1,PMT6_20P_860_0001-0003,2,405000,1402.481,422,4095,20
0.6,2,PMT6_6P_860-0003,2,405000,153.874,0,1906,6
0.6,3,PMT6_4P_860-0003,2,405000,67.563,0,1863,4
0.6,4,PMT6_2P_860-0003,2,405000,18.24,0,1866,2
0.6,5,PMT6_0P_860-0003,2,405000,0.00000001,0,1569,0
0.65,6,PMT65_0P_860-0003,2,405000,0.00000001,0,1909,0
0.65,7,PMT65_2P_860-0003,2,405000,33.583,0,2072,2
0.65,8,PMT65_4P_860-0003,2,405000,120.623,0,2385,4
0.65,9,PMT65_6P_860-0003,2,405000,262.389,0,2662,6
0.65,10,PMT65_8P_860-0003,2,405000,439.42,0,3022,8
0.65,11,PMT65_10P_860-0003,2,405000,639.569,0,4050,10
0.65,12,PMT65_12P_860-0003,2,405000,855.394,26,4095,12
0.65,13,PMT65_14P_860-0003,2,405000,1089.688,47,4095,14
0.65,14,PMT65_16P_860-0003,2,405000,1300.224,166,4095,16
0.65,15,PMT65_18P_860-0003,2,405000,1512.173,292,4095,18
0.65,16,PMT65_20P_860-0003,2,405000,1698.805,64,4095,20
0.75,28,PMT75_0P_860-0003,2,405000,22.86,0,3699,0
0.75,31,PMT75_6P_860-0003,2,405000,244.32,0,3970,6
0.75,36,PMT75_10P_860_0001-0003,2,405000,2159.404,871,4095,10
0.75,37,PMT75_4P_860_0004-0003,2,405000,458.013,0,4053,4
0.75,38,PMT75_8P_860_0001-0003,2,405000,1463.55,224,4095,8
0.75,39,PMT75_6P_860_0001-0003,2,405000,871.184,62,4050,6
0.75,41,PMT75_2P_860_0001-0003,2,405000,115.766,0,3762,2
0.75,43,PMT75_12P_860-0003,2,405000,2299.178,775,4095,12
0.75,44,PMT75_14P_860-0003,2,405000,2691.143,954,4095,14
0.65,57,PMT65_0P_860_0001-0003,2,405000,0.00000001,0,1942,0
0.65,62,PMT65_8P_860_0002-0003,2,405000,625.149,1,3000,8
0.65,63,PMT65_10P_860_0001-0003,2,405000,952.214,139,3158,10
0.65,64,PMT65_12P_860_0001-0003,2,405000,1315.043,355,3673,12
0.65,65,PMT65_14P_860_0001-0003,2,405000,1691.677,507,4010,14
0.65,66,PMT65_16P_860_0001-0003,2,405000,2061.649,842,4020,16
0.65,67,PMT65_18P_860_0001-0003,2,405000,2422.004,1138,4090,18
0.65,68,PMT65_20P_860_0001-0003,2,405000,2756.191,1428,4095,20
0.65,70,PMT65_6P_860_0002-0003,2,405000,365.481,0,2522,6
0.65,71,PMT65_4P_860_0002-0003,2,405000,165.196,0,2074,4
0.65,72,PMT65_2P_860_0002-0003,2,405000,46.368,0,1861,2
0.6,74,PMT6_0P_860_0001-0003,2,405000,0.00000001,0,1481,0
0.6,75,PMT6_2P_860_0001-0003,2,405000,20.637,0,1623,2
0.6,76,PMT6_4P_860_0001-0003,2,405000,75.699,0,1624,4
0.6,77,PMT6_6P_860_0001-0003,2,405000,174.301,0,1791,6
0.6,78,PMT6_8P_860_0001-0003,2,405000,309.302,0,1995,8
0.6,79,PMT6_10P_860_0001-0003,2,405000,486.294,0,2419,10
0.6,80,PMT6_12P_860_0001-0003,2,405000,687.557,58,3583,12
0.6,81,PMT6_14P_860_0001-0003,2,405000,899.927,105,3737,14
0.6,82,PMT6_16P_860_0001-0003,2,405000,1111.109,270,3918,16
0.6,83,PMT6_18P_860_0001-0003,2,405000,1327.179,465,4095,18
0.6,84,PMT6_20P_860_0002-0003,2,405000,1525.364,629,4095,20
0.7,85,PMT7_20P_860_0002-0003,2,405000,3287.891,2089,4095,20
0.7,86,PMT7_18P_860_0002-0003,2,405000,3132.013,1834,4095,18
0.7,87,PMT7_16P_860_0002-0003,2,405000,2887.084,1765,4095,16
0.7,88,PMT7_14P_860_0002-0003,2,405000,2517.996,1194,4095,14
0.7,89,PMT7_12P_860_0003-0003,2,405000,2058.47,819,4095,12
0.7,90,PMT7_10P_860_0002-0003,2,405000,1539.449,564,4095,10
0.7,91,PMT7_8P_860_0002-0003,2,405000,1050.891,154,4095,8
0.7,92,PMT7_6P_860_0002-0003,2,405000,633.334,15,4000,6
0.7,93,PMT7_4P_860_0002-0003,2,405000,300.932,0,3128,4
0.7,94,PMT7_2P_860_0002-0003,2,405000,85.195,0,2896,2
0.7,95,PMT7_0P_860_0002-0003,2,405000,0.00000001,0,2741,0
0.75,96,PMT75_0P_860_0002-0003,2,405000,0.00000001,0,3782,0
0.75,97,PMT75_2P_860_0002-0003,2,405000,145.561,0,3751,2
0.75,98,PMT75_4P_860_0006-0003,2,405000,501.665,0,3999,4
0.75,99,PMT75_6P_860_0002-0003,2,405000,1034.185,229,4093,6
0.75,100,PMT75_8P_860_0002-0003,2,405000,1614.765,393,4095,8
0.75,101,PMT75_10P_860_0002-0003,2,405000,2176.635,444,4095,10
0.75,102,PMT75_12P_860_0001-0003,2,405000,2572.519,354,4095,12
0.75,103,PMT75_14P_860_0001-0003,2,405000,2805.004,858,4095,14
